staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio_wait_based,stage_target,gap_slowdown_ms,gap_slowdown_pct,net_stage_cost_ms,effective_overlap_wall_clock
dequant,8,2048,10,2062,40,29,5.8521599769592285,0.40243199467658997,1.5738879442214966,0.01945599913597107,14.541984867933406,0.9516539455278483,KV,0.4136958122253418,7.6068500167378525,0.4136958122253418,0.0
dequant,8,2048,11,2063,7,,6.6754560470581055,2.2906880378723145,1.5800319910049438,0.020479999482631683,2.9141707367793934,0.9910594550004049,KV,2.3295998573303223,53.60508391503503,2.3295998573303223,0.0
dequant,8,2048,11,2063,18,7,5.909503936767578,0.40140798687934875,1.5718400478363037,0.020479999482631683,14.721939099193357,0.9489795914579364,KV,0.2938880920410156,5.2334080565178995,0.2938880920410156,0.2678568896304756
dequant,8,2048,11,2063,29,18,5.848063945770264,0.40140798687934875,1.5738879442214966,0.020479999482631683,14.568877892128283,0.9489795914579364,KV,0.3645439147949219,6.6479909389531535,0.3645439147949219,0.09183691727466081
dequant,8,2048,11,2063,40,29,5.829631805419922,0.40243199467658997,1.5769599676132202,0.020479999482631683,14.486004797170366,0.9491094153706884,KV,0.3839998245239258,7.051519931406464,0.3839998245239258,0.045801950134399694
dequant,8,2048,12,2064,7,,6.717440128326416,2.293760061264038,1.5831040143966675,0.020479999482631683,2.9285714062980897,0.9910714290354564,KV,2.1626882553100586,47.48202131761419,2.1626882553100586,0.05714277101927956
dequant,8,2048,12,2064,18,7,5.86956787109375,0.40243199467658997,1.5769599676132202,0.021503999829292297,14.585241602896817,0.9465648852135284,KV,0.41676807403564453,7.643194130481358,0.41676807403564453,0.0
dequant,8,2048,12,2064,29,18,5.838848114013672,0.40243199467658997,1.5718400478363037,0.02457600086927414,14.508906327654186,0.9389312947420486,KV,0.3973121643066406,7.301470907823951,0.3973121643066406,0.012722224966391749
dequant,8,2048,12,2064,40,29,5.910528182983398,0.40243199467658997,1.581055998802185,0.020479999482631683,14.687023549738706,0.9491094153706884,KV,0.5048322677612305,9.338895041055641,0.5048322677612305,0.0
dequant,8,2048,13,2065,7,,6.762495994567871,2.309119939804077,1.5718400478363037,0.020479999482631683,2.9286031782054818,0.9911308203919588,KV,2.4350719451904297,56.27070324991025,2.4350719451904297,0.0
dequant,8,2048,13,2065,18,7,5.810175895690918,0.40243199467658997,1.5738879442214966,0.020479999482631683,14.437658964864863,0.9491094153706884,KV,0.3665919303894043,6.734385521122372,0.3665919303894043,0.08905868509780923
dequant,8,2048,13,2065,29,18,5.864448070526123,0.40243199467658997,1.572864055633545,0.020479999482631683,14.572519451985974,0.9491094153706884,KV,0.43827199935913086,8.076995541813906,0.43827199935913086,0.0
dequant,8,2048,13,2065,40,29,5.840896129608154,0.40243199467658997,1.5554560422897339,0.01945599913597107,14.513995424996281,0.9516539455278483,KV,0.39116811752319336,7.177754865119222,0.39116811752319336,0.027989516992675267
dequant,8,2048,14,2066,7,,6.719488143920898,2.2824959754943848,1.5749119520187378,0.020479999482631683,2.943921135486545,0.9910273666624119,KV,2.372608184814453,54.581865778096436,2.372608184814453,0.0
