staging_mode,batch_size,context_length,decode_step,decode_position,layer_id,layer_type,elapsed_ms
none,8,2048,9,2061,28,mamba,0.7137280106544495
none,8,2048,9,2061,29,attention,1.7070080041885376
none,8,2048,9,2061,30,mlp,0.2836480140686035
none,8,2048,9,2061,31,mamba,0.754688024520874
none,8,2048,9,2061,32,mlp,0.39423999190330505
none,8,2048,9,2061,33,mamba,0.7096319794654846
none,8,2048,9,2061,34,mlp,0.3850240111351013
none,8,2048,9,2061,35,mamba,0.7157760262489319
none,8,2048,9,2061,36,mlp,0.37887999415397644
none,8,2048,9,2061,37,mamba,0.6922240257263184
none,8,2048,9,2061,38,mlp,0.37887999415397644
none,8,2048,9,2061,39,mamba,0.7055360078811646
none,8,2048,9,2061,40,attention,1.70905601978302
none,8,2048,9,2061,41,mlp,0.28569599986076355
none,8,2048,9,2061,42,mamba,0.7290880084037781
none,8,2048,9,2061,43,mlp,0.3819519877433777
none,8,2048,9,2061,44,mamba,0.7147520184516907
none,8,2048,9,2061,45,mlp,0.38092800974845886
